Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2024,Adams,WA,Truck,5,0,5,5354,5359,0.09
February 28 2022,Bexar,TX,Passenger,2,4,6,546,552,1.09
June 30 2018,Stevens,WA,Passenger,11,25,36,31619,31655,0.11
April 30 2022,Collier,FL,Passenger,1,0,1,22,23,4.35
October 31 2021,Chatham,NC,Passenger,1,0,1,7,8,12.50
November 30 2021,Onslow,NC,Passenger,0,1,1,160,161,0.62
March 31 2020,Washington,OR,Passenger,1,0,1,493,494,0.20
March 31 2025,Sedgwick,KS,Passenger,0,1,1,43,44,2.27
December 31 2024,Escambia,FL,Passenger,1,1,2,107,109,1.83
February 29 2020,Washoe,NV,Passenger,1,0,1,121,122,0.82
March 31 2022,District of Columbia,DC,Passenger,3,0,3,184,187,1.60
August 31 2021,Camden,NJ,Passenger,0,1,1,12,13,7.69
November 30 2022,Dallas,TX,Truck,1,0,1,13,14,7.14
July 31 2024,Pulaski,MO,Passenger,3,0,3,93,96,3.12
February 28 2019,Manatee,FL,Passenger,1,0,1,41,42,2.38
June 30 2021,Penobscot,ME,Passenger,0,2,2,10,12,16.67
December 31 2020,Missoula,MT,Passenger,1,0,1,74,75,1.33
January 31 2025,Hardin,KY,Truck,1,0,1,19,20,5.00
January 31 2017,Asotin,WA,Passenger,4,3,7,12315,12322,0.06
November 30 2019,Dakota,MN,Passenger,0,1,1,36,37,2.70
July 31 2021,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
October 31 2024,Harford,MD,Passenger,2,1,3,45,48,6.25
November 30 2017,Frederick,MD,Passenger,0,1,1,86,87,1.15
April 30 2023,Pacific,WA,Passenger,74,90,164,15562,15726,1.04
March 31 2018,Grays Harbor,WA,Truck,0,0,0,20070,20070,0.00
July 31 2017,Benton,WA,Truck,0,0,0,40120,40120,0.00
September 30 2020,Richland,SC,Passenger,0,1,1,145,146,0.68
April 30 2020,Snohomish,WA,Truck,0,0,0,123239,123239,0.00
September 30 2023,Kings,NY,Passenger,3,0,3,51,54,5.56
March 31 2024,Middlesex,CT,Passenger,1,0,1,9,10,10.00
July 31 2024,Chatham,NC,Passenger,1,0,1,4,5,20.00
January 31 2021,Anchorage,AK,Passenger,1,0,1,160,161,0.62
December 31 2021,Adams,WA,Truck,0,0,0,5416,5416,0.00
June 30 2019,Jefferson,WA,Passenger,197,119,316,24969,25285,1.25
October 31 2022,Snohomish,WA,Passenger,9415,2668,12083,529715,541798,2.23
May 31 2019,Travis,TX,Passenger,4,1,5,221,226,2.21
September 30 2023,Churchill,NV,Passenger,0,1,1,42,43,2.33
April 30 2020,Clark,WA,Passenger,1992,1058,3050,318497,321547,0.95
December 31 2020,Columbia,WA,Truck,0,0,0,1540,1540,0.00
July 31 2024,Albemarle,VA,Passenger,3,0,3,19,22,13.64
March 31 2019,Alexandria,VA,Passenger,1,0,1,151,152,0.66
March 31 2017,Salt Lake,UT,Passenger,1,1,2,316,318,0.63
November 30 2018,Virginia Beach,VA,Passenger,2,1,3,696,699,0.43
March 31 2025,Pulaski,MO,Passenger,2,0,2,80,82,2.44
March 31 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
March 31 2023,Douglas,WA,Passenger,180,57,237,28627,28864,0.82
March 31 2020,,,Passenger,8,1,9,425,434,2.07
July 31 2024,Harnett,NC,Passenger,4,1,5,136,141,3.55
March 31 2017,Albemarle,VA,Passenger,0,1,1,29,30,3.33
January 31 2022,Lake,IN,Passenger,0,1,1,9,10,10.00
March 31 2019,Nassau,NY,Passenger,3,0,3,42,45,6.67
December 31 2019,Yakima,WA,Truck,0,0,0,59592,59592,0.00
June 30 2022,Whatcom,WA,Truck,7,0,7,43293,43300,0.02
May 31 2025,Beaufort,SC,Passenger,1,0,1,20,21,4.76
June 30 2021,Bartow,GA,Passenger,0,1,1,4,5,20.00
July 31 2024,Ogle,IL,Passenger,1,0,1,0,1,100.00
March 31 2019,Montgomery,MD,Passenger,1,0,1,289,290,0.34
March 31 2023,Contra Costa,CA,Passenger,1,2,3,199,202,1.49
April 30 2019,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
September 30 2020,Wahkiakum,WA,Passenger,6,6,12,3015,3027,0.40
April 30 2021,Mohave,AZ,Passenger,1,0,1,77,78,1.28
October 31 2021,Boulder,CO,Passenger,2,1,3,47,50,6.00
February 29 2020,Charleston,SC,Passenger,1,0,1,110,111,0.90
December 31 2021,Marion,IN,Passenger,1,0,1,50,51,1.96
November 30 2019,Lake,CA,Passenger,0,1,1,13,14,7.14
May 31 2024,Yolo,CA,Passenger,3,0,3,26,29,10.34
September 30 2018,Multnomah,OR,Passenger,3,4,7,821,828,0.85
May 31 2025,Albemarle,VA,Passenger,2,0,2,17,19,10.53
February 28 2018,Kittitas,WA,Truck,0,0,0,13947,13947,0.00
September 30 2018,Wise,TX,Passenger,1,0,1,5,6,16.67
March 31 2019,Calvert,MD,Passenger,0,1,1,86,87,1.15
March 31 2022,Santa Cruz,CA,Passenger,1,0,1,30,31,3.23
February 28 2017,Maui,HI,Passenger,1,0,1,71,72,1.39
September 30 2019,Prince George's,MD,Passenger,1,1,2,183,185,1.08
October 31 2024,Stevens,WA,Truck,7,0,7,18620,18627,0.04
January 31 2018,Polk,FL,Passenger,1,0,1,67,68,1.47
May 31 2022,Fresno,CA,Passenger,2,0,2,169,171,1.17
August 31 2021,Palm Beach,FL,Passenger,1,1,2,73,75,2.67
January 31 2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88
May 31 2018,Franklin,MA,Passenger,0,1,1,3,4,25.00
January 31 2022,Flathead,MT,Passenger,2,0,2,58,60,3.33
October 31 2020,San Joaquin,CA,Passenger,1,0,1,127,128,0.78
November 30 2019,Cowlitz,WA,Truck,0,0,0,29015,29015,0.00
June 30 2024,Jefferson,IL,Passenger,1,0,1,1,2,50.00
January 31 2024,Essex,NJ,Passenger,2,0,2,9,11,18.18
April 30 2024,Columbia,GA,Passenger,1,1,2,79,81,2.47
November 30 2024,Cobb,GA,Passenger,1,0,1,38,39,2.56
January 31 2024,Marin,CA,Passenger,3,2,5,38,43,11.63
February 28 2023,Chelan,WA,Truck,19,0,19,23113,23132,0.08
May 31 2021,Washtenaw,MI,Passenger,0,1,1,33,34,2.94
May 31 2024,Shelby,AL,Passenger,2,0,2,2,4,50.00
August 31 2024,Harford,MD,Passenger,2,1,3,46,49,6.12
April 30 2024,Mason,WA,Passenger,605,247,852,46001,46853,1.82
September 30 2023,El Paso,CO,Passenger,6,7,13,557,570,2.28
May 31 2018,San Diego,CA,Passenger,7,2,9,2583,2592,0.35
March 31 2024,El Dorado,CA,Passenger,2,0,2,22,24,8.33
March 31 2021,Asotin,WA,Truck,0,0,0,6715,6715,0.00
December 31 2018,Whatcom,WA,Passenger,758,369,1127,149363,150490,0.75
September 30 2024,Marin,CA,Passenger,3,2,5,35,40,12.50
February 29 2020,Snohomish,WA,Passenger,4296,1729,6025,537767,543792,1.11
March 31 2025,Orange,CA,Passenger,7,2,9,282,291,3.09
February 29 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
August 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
November 30 2018,Maricopa,AZ,Passenger,2,3,5,1696,1701,0.29
November 30 2017,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
February 28 2018,Mason,WA,Truck,0,0,0,19725,19725,0.00
February 28 2019,Nueces,TX,Passenger,1,1,2,93,95,2.11
March 31 2024,Charleston,SC,Passenger,0,2,2,60,62,3.23
February 28 2021,Pinellas,FL,Passenger,1,1,2,116,118,1.69
December 31 2023,Harnett,NC,Passenger,4,1,5,155,160,3.12
September 30 2023,Lincoln,WA,Truck,0,0,0,4820,4820,0.00
November 30 2024,Lee,AL,Passenger,1,0,1,16,17,5.88
February 29 2024,Ventura,CA,Passenger,4,2,6,240,246,2.44
May 31 2020,Ramsey,MN,Passenger,1,0,1,47,48,2.08
July 31 2017,Tarrant,TX,Passenger,1,0,1,248,249,0.40
September 30 2018,Lewis,WA,Passenger,84,68,152,57931,58083,0.26
May 31 2021,Miami-Dade,FL,Passenger,1,0,1,114,115,0.87
November 30 2024,Chelan,WA,Truck,74,0,74,22904,22978,0.32
November 30 2018,Thurston,WA,Passenger,705,566,1271,195252,196523,0.65
February 28 2022,Currituck,NC,Passenger,1,0,1,25,26,3.85
April 30 2020,Cowlitz,WA,Passenger,136,115,251,72692,72943,0.34
July 31 2024,Hunt,TX,Passenger,1,0,1,4,5,20.00
November 30 2021,Wilson,NC,Passenger,1,0,1,1,2,50.00
August 31 2023,Brown,WI,Passenger,1,0,1,5,6,16.67
October 31 2022,Whitman,WA,Passenger,103,65,168,21843,22011,0.76
April 30 2021,San Juan,WA,Truck,0,0,0,5903,5903,0.00
February 28 2017,Franklin,OH,Passenger,0,1,1,117,118,0.85
November 30 2017,Stevens,WA,Truck,0,0,0,18316,18316,0.00
August 31 2024,Albemarle,VA,Passenger,3,0,3,18,21,14.29
March 31 2024,Columbia,GA,Passenger,1,1,2,77,79,2.53
December 31 2020,Yakima,WA,Truck,0,0,0,60953,60953,0.00
December 31 2022,El Paso,TX,Passenger,2,0,2,370,372,0.54
November 30 2020,Virginia Beach,VA,Passenger,1,0,1,655,656,0.15
October 31 2024,Sussex,NJ,Passenger,1,0,1,0,1,100.00
February 28 2025,Lincoln,OR,Passenger,1,0,1,18,19,5.26
April 30 2025,El Paso,TX,Passenger,2,2,4,251,255,1.57
August 31 2022,Alexandria,VA,Passenger,4,0,4,119,123,3.25
January 31 2021,Bucks,PA,Passenger,1,0,1,25,26,3.85
September 30 2024,Yakima,WA,Truck,24,0,24,60865,60889,0.04
February 28 2018,Morris,NJ,Passenger,1,0,1,18,19,5.26
October 31 2019,Portsmouth,VA,Passenger,0,1,1,79,80,1.25
October 31 2023,Fredericksburg,VA,Passenger,1,0,1,5,6,16.67
December 31 2023,Williamson,TN,Passenger,0,1,1,17,18,5.56
February 28 2017,San Mateo,CA,Passenger,0,1,1,167,168,0.60
January 31 2023,Multnomah,OR,Passenger,4,2,6,579,585,1.03
April 30 2021,Benton,WA,Passenger,494,379,873,135940,136813,0.64
February 28 2023,Placer,CA,Passenger,1,0,1,81,82,1.22
August 31 2021,Carson City,NV,Passenger,1,0,1,13,14,7.14
January 31 2019,Wise,TX,Passenger,1,0,1,4,5,20.00
January 31 2024,Prince George's,MD,Passenger,3,2,5,123,128,3.91
July 31 2024,Skagit,WA,Passenger,1554,555,2109,88128,90237,2.34
March 31 2020,Penobscot,ME,Passenger,0,2,2,17,19,10.53
May 31 2022,Clallam,WA,Passenger,410,245,655,49702,50357,1.30
October 31 2020,Ramsey,MN,Passenger,1,0,1,42,43,2.33
January 31 2021,Howard,IN,Passenger,0,1,1,4,5,20.00
February 28 2025,Pierce,WA,Truck,590,0,590,132255,132845,0.44
August 31 2022,Fort Bend,TX,Passenger,1,0,1,31,32,3.12
March 31 2024,Will,IL,Passenger,0,1,1,15,16,6.25
October 31 2024,Walla Walla,WA,Passenger,355,174,529,35262,35791,1.48
February 28 2018,Kent,MI,Passenger,0,1,1,37,38,2.63
March 31 2020,Nassau,NY,Passenger,5,0,5,41,46,10.87
September 30 2022,Madison,IL,Passenger,1,0,1,16,17,5.88
January 31 2025,Collin,TX,Passenger,2,1,3,39,42,7.14
February 28 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
September 30 2019,Clark,WA,Truck,0,0,0,80916,80916,0.00
June 30 2022,Salt Lake,UT,Passenger,2,1,3,171,174,1.72
June 30 2020,Bucks,PA,Passenger,1,0,1,25,26,3.85
July 31 2023,Pacific,WA,Truck,4,0,4,7817,7821,0.05
January 31 2018,San Juan,WA,Truck,0,0,0,5639,5639,0.00
January 31 2025,Monroe,WI,Passenger,2,0,2,8,10,20.00
December 31 2024,Wahkiakum,WA,Truck,7,0,7,1776,1783,0.39
January 31 2022,Greene,MO,Passenger,0,1,1,35,36,2.78
January 31 2021,Jefferson,WA,Passenger,291,167,458,24765,25223,1.82
July 31 2019,Norfolk,VA,Passenger,2,2,4,343,347,1.15
September 30 2021,Collin,TX,Passenger,3,0,3,127,130,2.31
December 31 2017,Pend Oreille,WA,Truck,0,0,0,5617,5617,0.00
September 30 2023,St. Louis,MN,Passenger,0,1,1,5,6,16.67
September 30 2018,Brevard,FL,Passenger,0,1,1,99,100,1.00
February 28 2018,District of Columbia,DC,Passenger,0,3,3,189,192,1.56
July 31 2023,Wayne,MI,Passenger,0,1,1,43,44,2.27
September 30 2019,Cumberland,NC,Passenger,1,2,3,496,499,0.60
January 31 2025,Bell,TX,Passenger,1,0,1,199,200,0.50
February 28 2022,Manassas,VA,Passenger,0,1,1,7,8,12.50
June 30 2024,Klickitat,WA,Passenger,212,86,298,15096,15394,1.94
August 31 2020,Jefferson,CO,Passenger,0,1,1,60,61,1.64
February 29 2024,Doña Ana,NM,Passenger,1,0,1,15,16,6.25
June 30 2023,Cumberland,NC,Passenger,2,4,6,352,358,1.68
January 31 2025,New London,CT,Passenger,3,5,8,162,170,4.71
March 31 2024,San Luis Obispo,CA,Passenger,0,1,1,45,46,2.17
April 30 2023,Columbia,OR,Passenger,1,0,1,19,20,5.00
April 30 2022,Santa Cruz,CA,Passenger,1,0,1,31,32,3.12
February 28 2025,Autauga,AL,Passenger,1,2,3,9,12,25.00
May 31 2017,Utah,UT,Passenger,0,1,1,173,174,0.57
May 31 2021,Richmond,NY,Passenger,1,0,1,7,8,12.50
May 31 2024,Cameron,TX,Passenger,1,0,1,19,20,5.00
January 31 2020,Wise,TX,Passenger,1,0,1,9,10,10.00
May 31 2017,Pacific,WA,Passenger,9,7,16,15130,15146,0.11
August 31 2020,Greene,MO,Passenger,0,1,1,41,42,2.38
March 31 2024,New Haven,CT,Passenger,2,2,4,24,28,14.29
May 31 2019,Manassas,VA,Passenger,0,1,1,8,9,11.11
April 30 2023,Whitman,WA,Passenger,137,72,209,21870,22079,0.95
September 30 2017,Polk,FL,Passenger,1,0,1,67,68,1.47
May 31 2022,Stevens,WA,Passenger,64,54,118,29986,30104,0.39
June 30 2023,Benton,WA,Truck,25,0,25,43132,43157,0.06
May 31 2017,Santa Clara,CA,Passenger,5,2,7,424,431,1.62
September 30 2024,Geary,KS,Passenger,1,0,1,66,67,1.49
October 31 2018,Garfield,WA,Truck,0,0,0,958,958,0.00
February 29 2024,Platte,MO,Passenger,2,1,3,16,19,15.79
October 31 2019,Klamath,OR,Passenger,1,0,1,45,46,2.17
December 31 2023,District of Columbia,DC,Truck,1,0,1,12,13,7.69
September 30 2022,Charlottesville,VA,Passenger,0,1,1,5,6,16.67
January 31 2017,Maricopa,AZ,Passenger,2,1,3,2079,2082,0.14
November 30 2022,Camden,NJ,Passenger,0,1,1,11,12,8.33
September 30 2021,Bexar,TX,Passenger,2,4,6,565,571,1.05
December 31 2020,Spartanburg,SC,Passenger,0,1,1,53,54,1.85
October 31 2020,Clallam,WA,Truck,1,0,1,21762,21763,0.00
July 31 2021,Prince William,VA,Passenger,1,3,4,205,209,1.91
July 31 2023,Pulaski,AR,Passenger,2,0,2,28,30,6.67
August 31 2018,Ferry,WA,Passenger,2,2,4,4416,4420,0.09
September 30 2020,Pierce,WA,Passenger,2571,1710,4281,553084,557365,0.77
March 31 2021,Hawaii,HI,Passenger,1,0,1,57,58,1.72
March 31 2023,Whatcom,WA,Truck,48,0,48,42839,42887,0.11
November 30 2022,Williams,ND,Passenger,0,1,1,7,8,12.50
October 31 2020,Multnomah,OR,Passenger,4,6,10,777,787,1.27
April 30 2023,Kitsap,WA,Truck,63,0,63,52285,52348,0.12
August 31 2023,Sarpy,NE,Passenger,1,1,2,61,63,3.17
November 30 2022,Charleston,SC,Passenger,1,2,3,67,70,4.29
December 31 2019,Columbia,WA,Truck,0,0,0,1537,1537,0.00
May 31 2019,St. Mary's,MD,Passenger,1,0,1,220,221,0.45
February 28 2025,Kootenai,ID,Passenger,2,2,4,77,81,4.94
December 31 2024,Maui,HI,Passenger,2,0,2,17,19,10.53
September 30 2017,Chelan,WA,Passenger,75,37,112,52493,52605,0.21
January 31 2024,Mohave,AZ,Passenger,1,0,1,50,51,1.96
July 31 2019,Nantucket,MA,Passenger,1,0,1,2,3,33.33
August 31 2017,Virginia Beach,VA,Passenger,2,1,3,642,645,0.47
May 31 2025,Cowlitz,WA,Passenger,885,337,1222,68358,69580,1.76
August 31 2018,Dakota,MN,Passenger,0,2,2,38,40,5.00
May 31 2017,Columbia,WA,Passenger,0,1,1,2360,2361,0.04
January 31 2017,San Juan,WA,Passenger,84,31,115,13344,13459,0.85
June 30 2023,Santa Cruz,AZ,Passenger,1,0,1,5,6,16.67
July 31 2021,St. Louis,MO,Passenger,1,0,1,90,91,1.10
September 30 2017,Fairfax,VA,Passenger,3,1,4,839,843,0.47
April 30 2020,St. Mary's,MD,Passenger,1,0,1,228,229,0.44
July 31 2020,Denton,TX,Passenger,1,0,1,107,108,0.93
May 31 2019,Deschutes,OR,Passenger,3,0,3,173,176,1.70
February 28 2022,Wake,NC,Passenger,1,1,2,136,138,1.45
October 31 2019,Skagit,WA,Passenger,338,210,548,92550,93098,0.59
February 28 2025,Skagit,WA,Truck,78,0,78,31402,31480,0.25
July 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
October 31 2024,Alameda,CA,Passenger,8,1,9,171,180,5.00
January 31 2022,Kauai,HI,Passenger,1,0,1,25,26,3.85
June 30 2021,Clark,NV,Passenger,6,3,9,727,736,1.22
September 30 2017,Dakota,MN,Passenger,0,2,2,40,42,4.76
July 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
March 31 2020,Whitman,WA,Truck,0,0,0,8547,8547,0.00
February 28 2019,Nantucket,MA,Passenger,1,0,1,4,5,20.00
January 31 2019,Grant,WA,Passenger,33,53,86,64345,64431,0.13
August 31 2023,Ventura,CA,Passenger,3,2,5,251,256,1.95
August 31 2024,Essex,NJ,Passenger,1,1,2,8,10,20.00
October 31 2019,Pierce,WA,Passenger,2056,1629,3685,546413,550098,0.67
September 30 2023,Leavenworth,KS,Passenger,1,2,3,82,85,3.53
October 31 2024,Johnson,MO,Passenger,1,0,1,27,28,3.57
February 28 2017,Mercer,NJ,Passenger,0,1,1,21,22,4.55
September 30 2020,Harrison,MS,Passenger,1,0,1,50,51,1.96
April 30 2019,Washtenaw,MI,Passenger,1,0,1,36,37,2.70
August 31 2021,Kittitas,WA,Passenger,172,73,245,29843,30088,0.81
January 31 2024,Skamania,WA,Truck,2,0,2,3840,3842,0.05
February 28 2017,Pierce,WA,Truck,0,0,0,138505,138505,0.00
September 30 2024,Volusia,FL,Truck,1,0,1,3,4,25.00
May 31 2023,Pettis,MO,Passenger,1,0,1,5,6,16.67
December 31 2017,Klickitat,WA,Passenger,24,26,50,14899,14949,0.33
August 31 2021,Santa Clara,CA,Passenger,12,2,14,301,315,4.44
November 30 2022,Lane,OR,Passenger,0,1,1,114,115,0.87
July 31 2023,Washoe,NV,Passenger,4,0,4,68,72,5.56
August 31 2024,Orange,CA,Passenger,6,2,8,337,345,2.32
November 30 2021,Clallam,WA,Passenger,372,239,611,50450,51061,1.20
October 31 2021,Onslow,NC,Passenger,0,1,1,161,162,0.62
January 31 2024,Hennepin,MN,Passenger,1,0,1,48,49,2.04
June 30 2021,Nueces,TX,Passenger,1,0,1,83,84,1.19
December 31 2021,Essex,MA,Passenger,1,0,1,22,23,4.35
December 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
January 31 2017,Grays Harbor,WA,Passenger,27,24,51,44306,44357,0.11
July 31 2021,Jefferson,WA,Passenger,338,184,522,24842,25364,2.06
February 28 2017,Island,WA,Truck,0,0,0,20484,20484,0.00
January 31 2017,Durham,NC,Passenger,0,1,1,39,40,2.50
July 31 2022,Cowlitz,WA,Passenger,347,171,518,70424,70942,0.73
June 30 2021,Lewis,WA,Passenger,163,141,304,59625,59929,0.51
February 28 2023,Franklin,WA,Truck,4,0,4,20940,20944,0.02
April 30 2018,Franklin,MA,Passenger,0,1,1,3,4,25.00
November 30 2024,Montgomery,PA,Passenger,1,0,1,16,17,5.88
June 30 2017,Wahkiakum,WA,Truck,0,0,0,1644,1644,0.00
April 30 2020,Harrison,MS,Passenger,1,0,1,57,58,1.72
December 31 2022,Kootenai,ID,Truck,1,0,1,38,39,2.56
April 30 2022,Jefferson,NY,Passenger,1,0,1,206,207,0.48
December 31 2020,Wise,TX,Passenger,1,0,1,9,10,10.00
December 31 2017,Montgomery,MD,Passenger,1,0,1,311,312,0.32
February 28 2023,Orange,FL,Passenger,3,0,3,94,97,3.09
November 30 2019,Saginaw,MI,Passenger,1,0,1,11,12,8.33
September 30 2023,Laramie,WY,Passenger,1,0,1,32,33,3.03
December 31 2020,Grant,WA,Truck,0,0,0,27491,27491,0.00
August 31 2024,Baltimore,MD,Passenger,1,0,1,67,68,1.47
January 31 2021,San Bernardino,CA,Passenger,1,0,1,414,415,0.24
February 28 2023,Onslow,NC,Passenger,0,1,1,155,156,0.64
July 31 2023,Orange,FL,Passenger,4,0,4,85,89,4.49
February 28 2025,Adams,WA,Passenger,52,21,73,13345,13418,0.54
September 30 2022,Stafford,VA,Passenger,3,1,4,93,97,4.12
August 31 2024,Bay,FL,Passenger,2,0,2,24,26,7.69
July 31 2022,El Paso,TX,Passenger,2,0,2,382,384,0.52
December 31 2018,Caddo,LA,Passenger,0,1,1,24,25,4.00
January 31 2024,Brown,WI,Passenger,1,0,1,4,5,20.00
May 31 2018,Chelan,WA,Truck,0,0,0,21814,21814,0.00
October 31 2017,New Haven,CT,Passenger,0,1,1,53,54,1.85
August 31 2022,Lake,IN,Passenger,0,1,1,11,12,8.33
August 31 2020,Pend Oreille,WA,Passenger,8,5,13,9218,9231,0.14
November 30 2021,Klickitat,WA,Truck,0,0,0,8317,8317,0.00
June 30 2023,Walla Walla,WA,Truck,5,0,5,13682,13687,0.04
April 30 2019,Kittitas,WA,Passenger,71,35,106,29475,29581,0.36
February 28 2025,Bergen,NJ,Passenger,1,0,1,7,8,12.50
June 30 2023,Hennepin,MN,Passenger,1,0,1,61,62,1.61
August 31 2017,Fresno,CA,Passenger,1,0,1,223,224,0.45
August 31 2024,Bergen,NJ,Passenger,1,0,1,9,10,10.00
November 30 2021,Fairfax,VA,Passenger,4,4,8,713,721,1.11
March 31 2018,Broward,FL,Passenger,0,1,1,136,137,0.73
February 28 2018,Lewis,WA,Passenger,52,47,99,56866,56965,0.17
November 30 2024,Multnomah,OR,Passenger,7,1,8,423,431,1.86
July 31 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
March 31 2025,Horry,SC,Passenger,1,0,1,9,10,10.00
September 30 2021,,,Passenger,4,3,7,365,372,1.88
January 31 2021,Williams,ND,Passenger,0,1,1,11,12,8.33
March 31 2019,Brevard,FL,Passenger,0,1,1,94,95,1.05
January 31 2021,Charleston,SC,Passenger,2,0,2,93,95,2.11
December 31 2023,Ferry,WA,Truck,0,0,0,3534,3534,0.00
July 31 2021,Owyhee,ID,Passenger,1,0,1,2,3,33.33
March 31 2023,Riverside,CA,Passenger,9,1,10,513,523,1.91
April 30 2023,Yakima,WA,Truck,11,0,11,61076,61087,0.02
March 31 2018,Jefferson,WA,Passenger,132,88,220,24271,24491,0.90
December 31 2022,Williamson,TX,Passenger,0,2,2,104,106,1.89
March 31 2021,Harrison,MS,Passenger,2,0,2,52,54,3.70
February 29 2024,Chesapeake,VA,Passenger,1,0,1,302,303,0.33
March 31 2021,Milwaukee,WI,Passenger,1,0,1,49,50,2.00
August 31 2019,Brevard,FL,Passenger,0,1,1,94,95,1.05
January 31 2025,Lake,IL,Passenger,7,0,7,105,112,6.25
March 31 2024,Otero,NM,Passenger,0,1,1,22,23,4.35
May 31 2020,Okanogan,WA,Truck,0,0,0,16378,16378,0.00
November 30 2021,Lincoln,WA,Truck,0,0,0,4803,4803,0.00
December 31 2020,Moore,NC,Passenger,0,1,1,161,162,0.62
September 30 2023,Douglas,CO,Passenger,1,2,3,66,69,4.35
August 31 2020,Douglas,NE,Passenger,0,1,1,57,58,1.72
August 31 2022,San Diego,CA,Passenger,22,8,30,2526,2556,1.17
January 31 2020,Cascade,MT,Passenger,0,1,1,66,67,1.49
November 30 2023,Polk,OR,Passenger,1,1,2,18,20,10.00
October 31 2021,Virginia Beach,VA,Passenger,1,0,1,618,619,0.16
December 31 2023,Clackamas,OR,Passenger,0,1,1,120,121,0.83
March 31 2020,Douglas,NE,Passenger,0,1,1,62,63,1.59
October 31 2024,Nueces,TX,Passenger,2,0,2,53,55,3.64
December 31 2023,Sedgwick,KS,Passenger,0,1,1,59,60,1.67
October 31 2018,Gwinnett,GA,Passenger,0,1,1,83,84,1.19
January 31 2021,Snohomish,WA,Passenger,5168,1875,7043,537859,544902,1.29
December 31 2020,Larimer,CO,Passenger,1,0,1,57,58,1.72
July 31 2021,Missoula,MT,Passenger,1,0,1,63,64,1.56
June 30 2019,Putnam,TN,Passenger,0,1,1,4,5,20.00
November 30 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
March 31 2020,Washoe,NV,Passenger,1,0,1,120,121,0.83
April 30 2022,Fresno,CA,Passenger,2,0,2,172,174,1.15
April 30 2023,Denton,TX,Passenger,2,0,2,72,74,2.70
July 31 2020,Oldham,KY,Passenger,0,1,1,5,6,16.67
February 29 2020,El Paso,CO,Passenger,3,1,4,761,765,0.52
October 31 2019,Spokane,WA,Truck,1,0,1,96028,96029,0.00
April 30 2025,Columbia,WA,Passenger,12,3,15,2361,2376,0.63
June 30 2022,Whatcom,WA,Passenger,1815,733,2548,148657,151205,1.69
December 31 2019,Island,WA,Truck,1,0,1,21327,21328,0.00
July 31 2021,Rockingham,NH,Passenger,1,0,1,27,28,3.57
August 31 2024,Newport,RI,Truck,1,0,1,9,10,10.00
August 31 2021,Clark,WA,Truck,0,0,0,84072,84072,0.00
August 31 2018,Broward,FL,Passenger,1,1,2,136,138,1.45
March 31 2020,Queens,NY,Passenger,1,0,1,56,57,1.75
October 31 2021,Yakima,WA,Passenger,270,165,435,168659,169094,0.26
